001       DAPSCO NORTH HAVEN CO.                      48    1023
002       DISTRO INC. - NHV RDC                        7    1023
006       NEWBURGH WINNELSON CO.                       5    2023
007       NEWBURGH WINWATER WORKS CO.                  7    2023
008       WARWICK WINWATER WORKS CO.                   6    2023
009       TRIPLE CITIES WINDUSTRIAL CO.                0
010       WEYMOUTH WINNELSON CO.                       5    2023
011       VERNON WINNELSON CO.                         3    3023
012       WINDSOR WINAIR CO.                           7    2023
014       CONNECTICUT WINPUMP CO.                      4    3023
015       STAMFORD WINNELSON CO.                       0
016       CATAMOUNT WINNELSON CO.                      4    3023
017       CARMEL WINWATER WORKS CO.                    0
018       DANBURY WINAIR CO.                           5    3023
019       DANBURY WINNELSON CO.                        0
020       ELMSFORD WINNELSON CO.                       3    3023
021       MARSHFIELD WINNELSON CO.                     0
022       BRIDGEWATER WINNELSON CO.                    0
023       NUTMEG WINLECTRIC CO.                        4    3023
024       COASTAL WINAIR CO.                           4    2023
025       HUDSON VALLEY WINDUSTRIAL CO.                0
026       ELMIRA WINDUSTRIAL CO.                       0
027       ALBANY WINDUSTRIAL CO.                       0
028       BALTIMORE WINDUSTRIAL CO.                    6    2023
029       BILLERICA WINWATER WORKS CO.                 0
030       WARWICK WINNELSON CO.                        0
031       AUBURN WINWATER WORKS CO.                    0
032       HOLYOKE WINDUSTRIAL CO.                      3    2023
033       MID HUDSON WINFASTENER CO.                   4    2023
034       WESTPORT WINWATER WORKS DIVISION             3    2023
035       COMFORT WINAIR CO.                           4    2023
036       CAPITAL WINAIR CO.                           3    2023
037       ALBANY WINWATER WORKS CO.                    4    2023
038       SYRACUSE WINDUSTRIAL CO..                    3    2023
039       CONCORD WINWATER WORKS CO.                   5    3023
071       MANCHESTER WINNELSON CO.                    12    2023
072       SHELTON WINNELSON CO.                       13    3023
073       COLCHESTER WINNELSON CO.                     4    3023
074       ESSEX WINNELSON CO.                          6    2023
075       BRANFORD WINNELSON CO.                       4    3023
076       NORTHERN WINDUSTRIAL CO.                     7    3023
077       SHELTON WINAIR CO.                          10    2023
078       PORTLAND WINAIR CO.                          0
079       BRISTOL WINNELSON CO.                        6    2023
080       HARTFORD WINNELSON CO.                       3    3023
081       NEW HAVEN WINDUSTRIAL CO.                    9    2023
082       WALLINGFORD WINNELSON CO.                    4    3023
083       ESSEX WINAIR CO.                             4    3023
084       PIONEER VALLEY WINNELSON CO.                 7    2023
085       TORRINGTON WINNELSON CO.                     0
086       MIDDLETOWN WINNELSON CO.                     5    3023
087       NEW LONDON WINDUSTRIAL CO.                   6    2023
088       WILLIMANTIC WINNELSON CO.                    4    3023
089       WORCESTER WINNELSON CO.                      4    3023
090       CHAMPLAIN WINAIR CO.                         4    3023
091       THAMES VALLEY WINNELSON CO.                  0
092       EAST GREENWICH WINAIR CO.                    4    2023
093       CRANSTON WINDUSTRIAL CO.                     3    3023
094       NEWBURGH WINDUSTRIAL CO.                     7    2023
095       STAMFORD WINDUSTRIAL CO.                     0
096       STAMFORD WINAIR CO.                          4    3023
098       BAYSTATE WINAIR CO.                          5    2023
099       EASTON WINWATER WORKS CO.                    4    2023
101       DAPSCO DAYTON CO.                            7    1023
102       DISTRO INC. - FRK RDC                        3    1023
104       FLORENCE WINWATER WORKS CO.                  4    3023
107       PADUCAH WINNELSON CO.                        3    3023
108       DAYTON WINNELSON CO.                         7    2023
109       FINDLAY WINNELSON CO.                        9    3023
110       PIQUA WINNELSON CO.                          7    2023
111       DAYTON WINAIR CO.                            5    3023
112       CENTERVILLE WINNELSON CO.                    6    2023
114       SPRINGFIELD WINNELSON CO.                    8    2023
115       DAYTON WINTRONIC CO.                         7    2023
116       ZANESVILLE WINNELSON CO.                     3    3023
117       LAKE ERIE WINNELSON CO.                     10    3023
120       DAYTON WINFASTENER CO.                       4    3023
121       GAHANNA WINFASTENER CO.                      4    3023
122       WESTWOOD WINNELSON CO.                       7    2023
124       ASHLAND WINCO SUPPLY CO.                     3    2023
133       EVANSVILLE WINAIR CO.                        4    2023
134       NEW ALBANY WINNELSON CO.                     0
135       JASPER WINLECTRIC CO.                        0
136       EVANSVILLE WINNELSON CO.                     5    2023
137       MAYSVILLE WINNELSON CO.                      0
144       BOWLING GREEN WINNELSON CO.                  6    2023
145       BOWLING GREEN WINLECTRIC CO.                 7    2023
146       BOWLING GREEN WINFASTENER CO.                4    2023
148       LOUISVILLE WINAIR CO.                        5    3023
149       LOUISVILLE WINLECTRIC CO.                    3    3023
151       LEBANON WINNELSON CO.                        6    2023
153       OWENSBORO WINNELSON CO.                      5    2023
154       ELIZABETHTOWN WINLECTRIC CO.                 3    2023
155       ELIZABETHTOWN WINNELSON CO.                 13    2023
156       ELIZABETHTOWN WINAIR CO.                     4    2023
159       INDIANAPOLIS WINAIR CO.                      4    2023
160       FAIRFIELD WINNELSON CO.                     14    2023
161       WILDER WINNELSON CO.                         6    3023
162       MILFORD WINNELSON CO.                        7    2023
164       WILDER WINLECTRIC CO                         4    2023
165       MASON WINLECTRIC CO.                         3    3023
166       DAYTON WINDUSTRIAL CO.                      15    2023
167       SIDNEY WINDUSTRIAL CO.                       3    3023
168       INDIANAPOLIS WINNELSON CO.                   5    2023
170       COLUMBUS WINNELSON CO.                       9    2023
171       LOUISVILLE WINNELSON CO.                     6    3023
172       LEXINGTON WINNELSON CO.                      6    2023
174       NEWARK WINNELSON CO.                         5    3023
175       MARYSVILLE WINNELSON CO.                     3    3023
187       FLORENCE WINTERIORS DIVISION                 8    2023
188       FLORENCE WINNELSON CO.                       6    2023
190       WESTFIELD WINNELSON CO.                      4    3023
191       FLORENCE WINLECTRIC CO.                      4    2023
193       GRIFFITH WINDUSTRIAL CO.                     7    3023
195       WITHAMSVILLE WINNELSON CO.                   4    3023
197       ASHLAND WINNELSON CO.                        8    2023
201       DAPSCO ST. LOUIS CO.                        49    1023
202       DISTRO ST. LOUIS CO.                         6    1023
203       CAPE GIRARDEAU WINNELSON CO.                 0
204       JEFFERSON CITY WINNELSON CO.                 5    2023
205       MARION WINNELSON CO.                         4    3023
206       O'FALLON WINNELSON CO.                       0
207       COLLIERVILLE WINNELSON CO.                   4    3023
208       ST. JOSEPH WINNELSON CO.                     0
209       COLUMBIA WINNELSON CO.                       4    3023
210       LAKE WINLECTRIC CO.                          0
211       MT. VERNON WINAIR CO.                        0
212       BATON ROUGE WINWATER WORKS CO.               6    3023
213       BENTONVILLE WINNELSON CO.                    4    2023
215       BLYTHEVILLE WINNELSON CO.                    4    3023
216       CAMDENTON WINNELSON CO.                      4    3023
217       LITTLE ROCK WINWATER WORKS CO.               0
218       GLADSTONE WINNELSON CO.                      5    3023
219       CHICAGO WINTRONIC CO.                        0
220       HENDERSONVILLE WINNELSON CO.                 4    3023
221       SPRINGDALE WINAIR CO.                        0
222       EDWARDSVILLE WINAIR CO.                      3    2023
223       CONWAY WINNELSON CO.                         5    2023
224       WEST KEARNEY WINNELSON CO.                   5    2023
225       RAYTOWN WINNELSON CO.                        6    2023
226       BLUE SPRINGS WINNELSON CO.                   0
227       DYERSBURG WINNELSON CO.                      3    3023
228       JANESVILLE WINAIR CO.                        3    2023
229       CARTERVILLE WINLECTRIC CO.                   4    3023
230       SEARCY WINTEMP CO.                           4    2023
231       TOPEKA WINNELSON CO.                         5    2023
232       LITTLE ROCK WINNELSON CO.                    8    3023
233       FT. SMITH WINNELSON CO.                      6    2023
234       NORTH LITTLE ROCK WINNELSON CO.              4    2023
235       PINE BLUFF WINNELSON CO.                     0
236       WICHITA WINNELSON CO.                        5    3023
237       POPLAR BLUFF WINNELSON CO.                   5    3023
238       BATON ROUGE WINDUSTRIAL CO.                  0
239       SEARCY WINNELSON CO.                         4    2023
240       KANSAS CITY WINNELSON CO.                    0
241       POPLAR BLUFF WINAIR CO.                      4    3023
242       N.L.R. WINTEMP SUPPLY CO.                    7    3023
243       MT. VERNON WINNELSON CO.                     0
244       LAFAYETTE WINWATER WORKS CO.                 5    3023
246       SPRINGDALE WINNELSON CO.                     5    2023
247       JONESBORO WINAIR CO.                         7    3023
248       WICHITA WINWATER WORKS CO.                   7    3023
249       MEMPHIS WINNELSON CO.                        4    3023
250       JONESBORO WINNELSON CO.                      4    3023
251       ALTON WINLECTRIC CO.                         4    2023
252       WEST PLAINS WINNELSON CO.                    3    3023
256       CARTERVILLE WINAIR CO.                       3    3023
257       LITTLE ROCK WINAIR CO.                       3    2023
259       SEARCY WINLECTRIC CO.                        0
260       CAPE WINAIR CO.                              4    3023
261       JOPLIN WINNELSON CO.                         5    3023
262       ALTON WINAIR CO.                             4    3023
263       ALTON WINNELSON CO.                          3    3023
264       COTTON STATES WINNELSON CO.                  0
266       LAWRENCE WINNELSON CO.                       4    2023
267       JEFFERSON CITY WINAIR CO.                    5    2023
